import time: self [us] | cumulative | imported package
import time:        83 |         83 |           torch.nn.modules.flatten
import time:        84 |         84 |           torch.nn.modules.fold
import time:       134 |        134 |           torch.nn.modules.instancenorm
import time:       385 |        385 |           torch.nn.modules.loss
import time:       227 |        227 |           torch.nn.modules.normalization
import time:       241 |        241 |           torch.nn.modules.padding
import time:        73 |         73 |           torch.nn.modules.pixelshuffle
import time:      3536 |       3536 |           torch.nn.modules.pooling
import time:        80 |         80 |                     torch.__future__
import time:       173 |        253 |                   torch.nn.utils.parametrize
import time:       308 |        560 |                 torch.nn.utils.parametrizations
import time:       344 |        344 |                 torch.nn.utils.rnn
import time:       113 |        113 |                   torch.nn.utils._named_member_accessor
import time:       113 |        226 |                 torch.nn.utils.stateless
import time:       126 |        126 |                   torch.utils._foreach_utils
import time:       145 |        271 |                 torch.nn.utils.clip_grad
import time:        63 |         63 |                 torch.nn.utils.convert_parameters
import time:       125 |        125 |                 torch.nn.utils.fusion
import time:        90 |         90 |                 torch.nn.utils.init
import time:        81 |         81 |                 torch.nn.utils.memory_format
import time:       123 |        123 |                 torch.nn.utils.spectral_norm
import time:        86 |         86 |                 torch.nn.utils.weight_norm
import time:       137 |       2102 |               torch.nn.utils
import time:        12 |       2113 |             torch.nn.utils.rnn
import time:      4257 |       6370 |           torch.nn.modules.rnn
import time:       154 |        154 |           torch.nn.modules.sparse
import time:       481 |        481 |           torch.nn.modules.transformer
import time:       166 |        166 |           torch.nn.modules.upsampling
import time:       350 |     184488 |         torch.nn.modules
import time:        82 |         82 |               torch.backends.cpu
import time:       282 |        282 |               torch.backends.cuda
import time:       189 |        189 |               torch.backends.cudnn
import time:        94 |         94 |               torch.backends.cusparselt
import time:        49 |         49 |               torch.backends.kleidiai
import time:        42 |         42 |               torch.backends.mha
import time:        68 |         68 |               torch.backends.miopen
import time:        54 |         54 |               torch.backends.mkl
import time:        89 |         89 |               torch.backends.mkldnn
import time:      3571 |       3571 |                 torch.library
import time:        97 |       3668 |               torch.backends.mps
import time:       100 |        100 |               torch.backends.nnpack
import time:        50 |         50 |               torch.backends.openmp
import time:       303 |        303 |                     opt_einsum.typing
import time:       117 |        420 |                   opt_einsum.blas
import time:       144 |        144 |                   opt_einsum.helpers
import time:       746 |        746 |                       _decimal
import time:        72 |        817 |                     decimal
import time:       631 |        631 |                     opt_einsum.paths
import time:       210 |       1657 |                   opt_einsum.path_random
import time:        75 |         75 |                   opt_einsum._version
import time:       134 |        134 |                           opt_einsum.parser
import time:       160 |        293 |                         opt_einsum.sharing
import time:        81 |        373 |                       opt_einsum.backends.cupy
import time:        80 |         80 |                         opt_einsum.backends.jax
import time:        53 |         53 |                         opt_einsum.backends.object_arrays
import time:        59 |         59 |                         opt_einsum.backends.tensorflow
import time:        47 |         47 |                         opt_einsum.backends.theano
import time:        80 |         80 |                         opt_einsum.backends.torch
import time:       197 |        513 |                       opt_einsum.backends.dispatch
import time:        93 |        979 |                     opt_einsum.backends
import time:      3386 |       4364 |                   opt_einsum.contract
import time:       142 |       6800 |                 opt_einsum
import time:        89 |       6888 |               torch.backends.opt_einsum
import time:       126 |        126 |               torch.backends.quantized
import time:       292 |      12067 |             torch.backends
import time:        12 |      12079 |           torch.backends.cuda
import time:       178 |        178 |           torch.nn.attention._registry
import time:       473 |        473 |           torch.nn.attention._fa4
import time:       162 |      12890 |         torch.nn.attention
import time:        72 |         72 |             torch.nn.parallel.parallel_apply
import time:       135 |        135 |                 torch.cuda.nccl
import time:        84 |        219 |               torch.nn.parallel.comm
import time:       126 |        344 |             torch.nn.parallel.replicate
import time:       198 |        198 |               torch.nn.parallel._functions
import time:      3344 |       3542 |             torch.nn.parallel.scatter_gather
import time:       174 |       4131 |           torch.nn.parallel.data_parallel
import time:       300 |        300 |                 torch.distributed.algorithms.join
import time:        89 |        389 |               torch.distributed.algorithms
import time:        16 |        404 |             torch.distributed.algorithms.join
import time:       200 |        200 |             torch.distributed.utils
import time:      1176 |       1779 |           torch.nn.parallel.distributed
import time:       129 |       6038 |         torch.nn.parallel
import time:       133 |     203808 |       torch.nn
import time:        14 |     203821 |     torch.nn.functional
import time:        70 |         70 |       torch._linalg_utils
import time:       111 |        180 |     torch._lowrank
import time:      4151 |     208151 |   torch.functional
import time:        74 |         74 |   torch.__config__
import time:        71 |         71 |     torch.accelerator._utils
import time:       112 |        112 |     torch.accelerator.memory
import time:       143 |        325 |   torch.accelerator
import time:       159 |        159 |       torch.cpu.amp.autocast_mode
import time:        81 |         81 |       torch.cpu.amp.grad_scaler
import time:        80 |        319 |     torch.cpu.amp
import time:       156 |        474 |   torch.cpu
import time:       395 |        395 |       torch.distributions.constraints
import time:       216 |        216 |         torch.distributions.utils
import time:       203 |        419 |       torch.distributions.distribution
import time:       745 |       1557 |     torch.distributions.transforms
import time:        98 |         98 |       torch.distributions.exp_family
import time:      3214 |       3311 |     torch.distributions.bernoulli
